GB/T28181,指,"GB/T28181《安全防范视频监控联网系统信息传输、交换、控制技术要
求》是由公安部科技信息化局提出，由全国安全防范报警系统标准化技
术委员会（SAC/TC100)归口，公安部一所等多家单位共同起草的一部国
家标准。"
GB/T28181,指,"GB/T28181《安全防范视频监控联网系统信息传输、交换、控制技术要
求》是由公安部科技信息化局提出，由全国安全防范报警系统标准化技
术委员会（SAC/TC100)归口，公安部一所等多家单位共同起草的一部国
家标准。"
鲁棒性,指,"鲁棒性(Robustness：健壮性、抗变换性），统计学中的专业术语，自 20
实际70 年代初开始在控制理论的研究中流行起来，用来体现控制系统在
一定（结构，大小）特性或参数扰动|摄动的情况下维持系统的某些满意
性能的不敏感性、健壮性,使系统在异常或危险情况下生存。"
FPGA,指,"FPGA（Field-Programmable Gate Array），即现场可编程门阵列，它是在
PAL、GAL、CPLD 等可编程器件的基础上进一步发展的产物。它是作
为专用集成电路（ASIC）领域中的一种半定制电路而出现的，既解决了
定制电路的不足，又克服了原有可编程器件门电路数有限的缺点。"
泊松融合,指,"将源图像中一个物体或者一个区域嵌入到目标图像生成一个新的图像。
在对图像进行合成的过程中，为了使合成后的图像更自然，合成边界应
当保持无缝。但如果源图像和目标图像有着明显不同的纹理特征，则直
接合成后的图像会存在明显的边界。针对这个问题，有人提出了一种利
用构造泊松方程求解像素最优值的方法，在保留了源图像梯度信息的同
时，融合源图像与目标图像。该方法根据用户指定的边界条件求解一个
泊松方程，实现了梯度域上的连续，从而达到边界处的无缝融合。"
行人重识别,指,"行人重识别（Personre-identification）也称行人再识别，是利用计算机视
觉技术判断图像或者视频序列中是否存在特定行人的技术。"
空间域,指,"也叫空域，即所说的像素域，在空域的处理就是在像素级的处理，如在
像素级的图像叠加。通过傅立叶变换后，得到的是图像的频谱。表示图
像的能量梯度。"
时间域,指,"也叫时域，自变量是时间，即横轴是时间,纵轴是信号的变化。其动态信
号X（t）是描述信号在不同时刻取值的函数。"
谱聚类算法,指,"谱聚类算法建立在谱图理论基础上，与传统的聚类算法相比，它具有能
在任意形状的样本空间上聚类且收敛于全局最优解的优点。"
DDN 专线,指,"DDN（DIGITAL DATA NETWORK ，数字数据网）是利用数字信道提
供永久性连接电路，用来传输数据信号的数字传输网络。"
